log10(r_p),r_p,E,E(upper limit),E(lower limit)
-1.74391,0.018033914,0.361994,0.435439,0.288549
-1.6454,0.022625595,0.306318,0.379171,0.234057
-1.54656,0.028407957,0.168904,0.216881,0.122113
-1.44815,0.035632804,0.138105,0.178973,0.098421
-1.34713,0.044964524,0.068806,0.103751,0.034452
-1.24871,0.056401415,0.035637,0.058144,0.014314
-1.15055,0.070704979,0.063475,0.084798,0.043337
-1.04718,0.089705692,0.021422,0.038006,0.006022
-0.94651,0.113107135,0.037414,0.051629,0.022606
-0.85058,0.141065236,0.01076,0.023198,-0.001678
-0.74739,0.17889986,0.011945,0.025568,9.90E-05
-0.64907,0.224352028,0.003653,0.015499,-0.009378
-0.5508,0.281319606,0.004245,0.014906,-0.006417
-0.44507,0.358864088,-0.012932,-0.00227,-0.022409
-0.34682,0.449966312,-0.006417,0.005429,-0.01767
-0.24856,0.564208988,-0.000494,0.01076,-0.011747
-0.14781,0.711524731,-0.005824,0.007206,-0.017078
-0.04701,0.897408131,-0.020632,-0.009378,-0.03307
0.05131,1.125408005,-0.030701,-0.018855,-0.043139
0.15454,1.427381291,-0.039585,-0.026555,-0.053801
0.25281,1.789822651,-0.035439,-0.019447,-0.049062
0.34856,2.231310453,-0.019447,-0.002863,-0.035439
0.45183,2.830283894,-0.037216,-0.016486,-0.057947
0.55002,3.548297294,-0.014116,0.016091,-0.044916